=== Run information ===

Scheme:       weka.classifiers.meta.Stacking -X 10 -M "weka.classifiers.rules.ZeroR " -S 1 -num-slots 1 -B "weka.classifiers.rules.ZeroR "
Relation:     soybean
Instances:    683
Attributes:   36
              date
              plant-stand
              precip
              temp
              hail
              crop-hist
              area-damaged
              severity
              seed-tmt
              germination
              plant-growth
              leaves
              leafspots-halo
              leafspots-marg
              leafspot-size
              leaf-shread
              leaf-malf
              leaf-mild
              stem
              lodging
              stem-cankers
              canker-lesion
              fruiting-bodies
              external-decay
              mycelium
              int-discolor
              sclerotia
              fruit-pods
              fruit-spots
              seed
              mold-growth
              seed-discolor
              seed-size
              shriveling
              roots
              class
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

Stacking

Base classifiers

ZeroR predicts class value: brown-spot



Meta classifier

ZeroR predicts class value: brown-spot

Time taken to build model: 0 seconds

=== Predictions on test set ===

    inst#     actual  predicted error prediction
        1 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
        2 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
        3 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
        4 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
        5 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
        6 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
        7 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
        8 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
        9 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
       10 1:diaporthe-stem-canker 8:brown-spot   +   0.132 
       11 2:charcoal-rot 8:brown-spot   +   0.132 
       12 2:charcoal-rot 8:brown-spot   +   0.132 
       13 2:charcoal-rot 8:brown-spot   +   0.132 
       14 2:charcoal-rot 8:brown-spot   +   0.132 
       15 2:charcoal-rot 8:brown-spot   +   0.132 
       16 2:charcoal-rot 8:brown-spot   +   0.132 
       17 2:charcoal-rot 8:brown-spot   +   0.132 
       18 2:charcoal-rot 8:brown-spot   +   0.132 
       19 2:charcoal-rot 8:brown-spot   +   0.132 
       20 2:charcoal-rot 8:brown-spot   +   0.132 
       21 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
       22 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
       23 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
       24 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
       25 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
       26 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
       27 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
       28 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
       29 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
       30 3:rhizoctonia-root-rot 8:brown-spot   +   0.132 
       31 4:phytophthora-rot 8:brown-spot   +   0.132 
       32 4:phytophthora-rot 8:brown-spot   +   0.132 
       33 4:phytophthora-rot 8:brown-spot   +   0.132 
       34 4:phytophthora-rot 8:brown-spot   +   0.132 
       35 4:phytophthora-rot 8:brown-spot   +   0.132 
       36 4:phytophthora-rot 8:brown-spot   +   0.132 
